	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2004"	"2004"	"Texas"	"48"	152870	22394023	682.64
	"2004"	"2004"	"Utah"	"49"	13331	2401580	555.09
	"2004"	"2004"	"Vermont"	"50"	4995	619920	805.75
	"2004"	"2004"	"Virginia"	"51"	56550	7475575	756.46
	"2004"	"2004"	"Washington"	"53"	44770	6178645	724.59
	"2004"	"2004"	"West Virginia"	"54"	20793	1816438	1144.71
	"2004"	"2004"	"Wisconsin"	"55"	45600	5514026	826.98
	"2004"	"2004"	"Wyoming"	"56"	3955	509106	776.85
	"2005"	"2005"	"Alabama"	"01"	47090	4569805	1030.46
	"2005"	"2005"	"Alaska"	"02"	3168	666946	475.00
	"2005"	"2005"	"Arizona"	"04"	45827	5839077	784.83
	"2005"	"2005"	"Arkansas"	"05"	28055	2781097	1008.77
	"2005"	"2005"	"California"	"06"	237037	35827943	661.60
	"2005"	"2005"	"Colorado"	"08"	29627	4631888	639.63
	"2005"	"2005"	"Connecticut"	"09"	29467	3506956	840.24
	"2005"	"2005"	"Delaware"	"10"	7472	845150	884.10
	"2005"	"2005"	"District of Columbia"	"11"	5483	567136	966.79
	"2005"	"2005"	"Florida"	"12"	170791	17842038	957.24
	"2005"	"2005"	"Georgia"	"13"	66736	8925922	747.67
	"2005"	"2005"	"Hawaii"	"15"	9136	1292729	706.72
	"2005"	"2005"	"Idaho"	"16"	10556	1428241	739.09
	"2005"	"2005"	"Illinois"	"17"	103974	12609903	824.54
	"2005"	"2005"	"Indiana"	"18"	55675	6278616	886.74
	"2005"	"2005"	"Iowa"	"19"	27811	2964454	938.15
	"2005"	"2005"	"Kansas"	"20"	24682	2745299	899.06
	"2005"	"2005"	"Kentucky"	"21"	40223	4182742	961.64
	"2005"	"2005"	"Louisiana"	"22"	44355	4576628	969.16
	"2005"	"2005"	"Maine"	"23"	12868	1318787	975.75
	"2005"	"2005"	"Maryland"	"24"	43892	5592379	784.85
	"2005"	"2005"	"Massachusetts"	"25"	53874	6403290	841.35
	"2005"	"2005"	"Michigan"	"26"	86867	10051137	864.25
	"2005"	"2005"	"Minnesota"	"27"	37535	5119598	733.16
	"2005"	"2005"	"Mississippi"	"28"	29196	2905943	1004.70
	"2005"	"2005"	"Missouri"	"29"	54656	5790300	943.92
	"2005"	"2005"	"Montana"	"30"	8528	940102	907.14
	"2005"	"2005"	"Nebraska"	"31"	14963	1761497	849.45
	"2005"	"2005"	"Nevada"	"32"	19029	2432143	782.40
	"2005"	"2005"	"New Hampshire"	"33"	10194	1298492	785.06
	"2005"	"2005"	"New Jersey"	"34"	71963	8651974	831.75
	"2005"	"2005"	"New Mexico"	"35"	14983	1932274	775.41
	"2005"	"2005"	"New York"	"36"	152427	19132610	796.69
	"2005"	"2005"	"North Carolina"	"37"	74638	8705407	857.38
	"2005"	"2005"	"North Dakota"	"38"	5744	646089	889.04
	"2005"	"2005"	"Ohio"	"39"	109031	11463320	951.13
	"2005"	"2005"	"Oklahoma"	"40"	36180	3548597	1019.56
	"2005"	"2005"	"Oregon"	"41"	31091	3613202	860.48
	"2005"	"2005"	"Pennsylvania"	"42"	129532	12449990	1040.42
	"2005"	"2005"	"Rhode Island"	"44"	10007	1067916	937.06
	"2005"	"2005"	"South Carolina"	"45"	38707	4270150	906.46
	"2005"	"2005"	"South Dakota"	"46"	7086	775493	913.74
	"2005"	"2005"	"Tennessee"	"47"	57260	5991057	955.76
	"2005"	"2005"	"Texas"	"48"	156457	22778123	686.87
	"2005"	"2005"	"Utah"	"49"	13432	2457719	546.52
	"2005"	"2005"	"Vermont"	"50"	5066	621215	815.50
	"2005"	"2005"	"Virginia"	"51"	57855	7577105	763.55
	"2005"	"2005"	"Washington"	"53"	46203	6257305	738.38
	"2005"	"2005"	"West Virginia"	"54"	20780	1820492	1141.45
	"2005"	"2005"	"Wisconsin"	"55"	46709	5546166	842.19
	"2005"	"2005"	"Wyoming"	"56"	4099	514157	797.23
	"2006"	"2006"	"Alabama"	"01"	46977	4628981	1014.85
	"2006"	"2006"	"Alaska"	"02"	3354	675302	496.67
	"2006"	"2006"	"Arizona"	"04"	46365	6029141	769.02
	"2006"	"2006"	"Arkansas"	"05"	27901	2821761	988.78
	"2006"	"2006"	"California"	"06"	237126	36021202	658.30
	"2006"	"2006"	"Colorado"	"08"	29521	4720423	625.39
	"2006"	"2006"	"Connecticut"	"09"	29260	3517460	831.85
	"2006"	"2006"	"Delaware"	"10"	7204	859268	838.39
	"2006"	"2006"	"District of Columbia"	"11"	5344	570681	936.43
	"2006"	"2006"	"Florida"	"12"	170066	18166990	936.13
	"2006"	"2006"	"Georgia"	"13"	67808	9155813	740.60
	"2006"	"2006"	"Hawaii"	"15"	9432	1309731	720.15
	"2006"	"2006"	"Idaho"	"16"	10613	1468669	722.63
	"2006"	"2006"	"Illinois"	"17"	102171	12643955	808.06
	"2006"	"2006"	"Indiana"	"18"	55622	6332669	878.33
	"2006"	"2006"	"Iowa"	"19"	27362	2982644	917.37
	"2006"	"2006"	"Kansas"	"20"	24553	2762931	888.66
	"2006"	"2006"	"Kentucky"	"21"	40102	4219239	950.46
	"2006"	"2006"	"Louisiana"	"22"	40045	4302665	930.70
	"2006"	"2006"	"Maine"	"23"	12294	1323619	928.82
